0.3	-68.9584	-68.9584	-68.9584	-68.9584	-68.9584	-68.9584	-68.9584
0.31	-69.1721	-69.1721	-69.1721	-69.1721	-69.1721	-69.1721	-69.1721
0.32	-69.3666	-69.3666	-69.3666	-69.3666	-69.3666	-69.3666	-69.3666
0.33	-69.5433	-69.5433	-69.5433	-69.5433	-69.5433	-69.5433	-69.5433
0.34	-69.7034	-69.7034	-69.7034	-69.7034	-69.7034	-69.7034	-69.7034
0.35	-69.8483	-69.8483	-69.8483	-69.8483	-69.8483	-69.8483	-69.8483
0.36	-69.9791	-69.9791	-69.9791	-69.9791	-69.9791	-69.9791	-69.9791
0.37	-70.0969	-70.0969	-70.0969	-70.0969	-70.0969	-70.0969	-70.0969
0.38	-70.2029	-70.2029	-70.2029	-70.2029	-70.2029	-70.2029	-70.2029
0.39	-70.298	-70.298	-70.298	-70.298	-70.298	-70.298	-70.298
0.4	-70.3831	-70.3831	-70.3831	-70.3831	-70.3831	-70.3831	-70.3831
0.41	-70.4592	-70.4592	-70.4592	-70.4592	-70.4592	-70.4592	-70.4592
0.42	-70.5271	-70.5271	-70.5271	-70.5271	-70.5271	-70.5271	-70.5271
0.43	-70.5875	-70.5875	-70.5875	-70.5875	-70.5875	-70.5875	-70.5875
0.44	-70.6412	-70.6412	-70.6412	-70.6412	-70.6412	-70.6412	-70.6412
0.45	-70.6887	-70.6887	-70.6887	-70.6887	-70.6887	-70.6887	-70.6887
0.46	-70.7307	-70.7307	-70.7307	-70.7307	-70.7307	-70.7307	-70.7307
0.47	-70.7678	-70.7678	-70.7678	-70.7678	-70.7678	-70.7678	-70.7678
0.48	-70.8004	-70.8004	-70.8004	-70.8004	-70.8004	-70.8004	-70.8004
0.49	-70.829	-70.829	-70.829	-70.829	-70.829	-70.829	-70.829
0.5	-70.8539	-70.8539	-70.8539	-70.8539	-70.8539	-70.8539	-70.8539
0.51	-70.8757	-70.8757	-70.8757	-70.8757	-70.8757	-70.8757	-70.8757
0.52	-70.8945	-70.8945	-70.8945	-70.8945	-70.8945	-70.8945	-70.8945
0.53	-70.9107	-70.9107	-70.9107	-70.9107	-70.9107	-70.9107	-70.9107
0.54	-70.9247	-70.9247	-70.9247	-70.9247	-70.9247	-70.9247	-70.9247
0.55	-70.9365	-70.9365	-70.9365	-70.9365	-70.9365	-70.9365	-70.9365
0.56	-70.9464	-70.9464	-70.9464	-70.9464	-70.9464	-70.9464	-70.9464
0.57	-70.9547	-70.9547	-70.9547	-70.9547	-70.9547	-70.9547	-70.9547
0.58	-70.9615	-70.9615	-70.9615	-70.9615	-70.9615	-70.9615	-70.9615
0.59	-70.967	-70.967	-70.967	-70.967	-70.967	-70.967	-70.967
0.6	-70.9713	-70.9713	-70.9713	-70.9713	-70.9713	-70.9713	-70.9713
0.61	-70.9745	-70.9745	-70.9745	-70.9745	-70.9745	-70.9745	-70.9745
0.62	-70.9768	-70.9768	-70.9768	-70.9768	-70.9768	-70.9768	-70.9768
0.63	-70.9782	-70.9782	-70.9782	-70.9782	-70.9782	-70.9782	-70.9782
0.64	-70.9789	-70.9789	-70.9789	-70.9789	-70.9789	-70.9789	-70.9789
0.65	-70.9788	-70.9788	-70.9788	-70.9788	-70.9788	-70.9788	-70.9788
0.66	-70.9782	-70.9782	-70.9782	-70.9782	-70.9782	-70.9782	-70.9782
0.67	-70.977	-70.977	-70.977	-70.977	-70.977	-70.977	-70.977
0.68	-70.9754	-70.9754	-70.9754	-70.9754	-70.9754	-70.9754	-70.9754
0.69	-70.9733	-70.9733	-70.9733	-70.9733	-70.9733	-70.9733	-70.9733
0.7	-70.9707	-70.9707	-70.9707	-70.9707	-70.9707	-70.9707	-70.9707
0.71	-70.9679	-70.9679	-70.9679	-70.9679	-70.9679	-70.9679	-70.9679
0.72	-70.9647	-70.9647	-70.9647	-70.9647	-70.9647	-70.9647	-70.9647
0.73	-70.9612	-70.9612	-70.9612	-70.9612	-70.9612	-70.9612	-70.9612
0.74	-70.9575	-70.9575	-70.9575	-70.9575	-70.9575	-70.9575	-70.9575
0.75	-70.9535	-70.9535	-70.9535	-70.9535	-70.9535	-70.9535	-70.9535
0.76	-70.9494	-70.9494	-70.9494	-70.9494	-70.9494	-70.9494	-70.9494
0.77	-70.945	-70.945	-70.945	-70.945	-70.945	-70.945	-70.945
0.78	-70.9404	-70.9404	-70.9404	-70.9404	-70.9404	-70.9404	-70.9404
0.79	-70.9357	-70.9357	-70.9357	-70.9357	-70.9357	-70.9357	-70.9357
0.8	-70.9309	-70.9309	-70.9309	-70.9309	-70.9309	-70.9309	-70.9309
0.81	-70.9259	-70.9259	-70.9259	-70.9259	-70.9259	-70.9259	-70.9259
0.82	-70.9208	-70.9208	-70.9208	-70.9208	-70.9208	-70.9208	-70.9208
0.83	-70.9156	-70.9156	-70.9156	-70.9156	-70.9156	-70.9156	-70.9156
0.84	-70.9102	-70.9102	-70.9102	-70.9102	-70.9102	-70.9102	-70.9102
0.85	-70.9048	-70.9048	-70.9048	-70.9048	-70.9048	-70.9048	-70.9048
0.86	-70.8993	-70.8993	-70.8993	-70.8993	-70.8993	-70.8993	-70.8993
0.87	-70.8937	-70.8937	-70.8937	-70.8937	-70.8937	-70.8937	-70.8937
0.88	-70.8881	-70.8881	-70.8881	-70.8881	-70.8881	-70.8881	-70.8881
0.89	-70.8823	-70.8823	-70.8823	-70.8823	-70.8823	-70.8823	-70.8823
0.9	-70.8765	-70.8765	-70.8765	-70.8765	-70.8765	-70.8765	-70.8765
0.91	-70.8707	-70.8707	-70.8707	-70.8707	-70.8707	-70.8707	-70.8707
0.92	-70.8648	-70.8648	-70.8648	-70.8648	-70.8648	-70.8648	-70.8648
0.93	-70.8588	-70.8588	-70.8588	-70.8588	-70.8588	-70.8588	-70.8588
0.94	-70.8528	-70.8528	-70.8528	-70.8528	-70.8528	-70.8528	-70.8528
0.95	-70.8467	-70.8467	-70.8467	-70.8467	-70.8467	-70.8467	-70.8467
0.96	-70.8406	-70.8406	-70.8406	-70.8406	-70.8406	-70.8406	-70.8406
0.97	-70.8344	-70.8344	-70.8344	-70.8344	-70.8344	-70.8344	-70.8344
0.98	-70.8282	-70.8282	-70.8282	-70.8282	-70.8282	-70.8282	-70.8282
0.99	-70.8219	-70.8219	-70.8219	-70.8219	-70.8219	-70.8219	-70.8219
1	-70.8156	-70.8156	-70.8156	-70.8156	-70.8156	-70.8156	-70.8156
1.01	-70.8093	-70.8093	-70.8093	-70.8093	-70.8093	-70.8093	-70.8093
1.02	-70.8029	-70.8029	-70.8029	-70.8029	-70.8029	-70.8029	-70.8029
1.03	-70.7965	-70.7965	-70.7965	-70.7965	-70.7965	-70.7965	-70.7965
1.04	-70.7901	-70.7901	-70.7901	-70.7901	-70.7901	-70.7901	-70.7901
1.05	-70.7836	-70.7836	-70.7836	-70.7836	-70.7836	-70.7836	-70.7836
1.06	-70.7771	-70.7771	-70.7771	-70.7771	-70.7771	-70.7771	-70.7771
1.07	-70.7705	-70.7705	-70.7705	-70.7705	-70.7705	-70.7705	-70.7705
1.08	-70.7639	-70.7639	-70.7639	-70.7639	-70.7639	-70.7639	-70.7639
1.09	-70.7573	-70.7573	-70.7573	-70.7573	-70.7573	-70.7573	-70.7573
1.1	-70.7507	-70.7507	-70.7507	-70.7507	-70.7507	-70.7507	-70.7507
1.11	-70.744	-70.744	-70.744	-70.744	-70.744	-70.744	-70.744
1.12	-70.7373	-70.7373	-70.7373	-70.7373	-70.7373	-70.7373	-70.7373
1.13	-70.7306	-70.7306	-70.7306	-70.7306	-70.7306	-70.7306	-70.7306
1.14	-70.7238	-70.7238	-70.7238	-70.7238	-70.7238	-70.7238	-70.7238
1.15	-70.717	-70.717	-70.717	-70.717	-70.717	-70.717	-70.717
1.16	-70.7102	-70.7102	-70.7102	-70.7102	-70.7102	-70.7102	-70.7102
1.17	-70.7033	-70.7033	-70.7033	-70.7033	-70.7033	-70.7033	-70.7033
1.18	-70.6964	-70.6964	-70.6964	-70.6964	-70.6964	-70.6964	-70.6964
1.19	-70.6895	-70.6895	-70.6895	-70.6895	-70.6895	-70.6895	-70.6895
1.2	-70.6825	-70.6825	-70.6825	-70.6825	-70.6825	-70.6825	-70.6825
1.21	-70.6756	-70.6756	-70.6756	-70.6756	-70.6756	-70.6756	-70.6756
1.22	-70.6685	-70.6685	-70.6685	-70.6685	-70.6685	-70.6685	-70.6685
1.23	-70.6615	-70.6615	-70.6615	-70.6615	-70.6615	-70.6615	-70.6615
1.24	-70.6544	-70.6544	-70.6544	-70.6544	-70.6544	-70.6544	-70.6544
1.25	-70.6474	-70.6474	-70.6474	-70.6474	-70.6474	-70.6474	-70.6474
1.26	-70.6402	-70.6402	-70.6402	-70.6402	-70.6402	-70.6402	-70.6402
1.27	-70.6331	-70.6331	-70.6331	-70.6331	-70.6331	-70.6331	-70.6331
1.28	-70.6259	-70.6259	-70.6259	-70.6259	-70.6259	-70.6259	-70.6259
1.29	-70.6187	-70.6187	-70.6187	-70.6187	-70.6187	-70.6187	-70.6187
1.3	-70.6114	-70.6114	-70.6114	-70.6114	-70.6114	-70.6114	-70.6114
1.31	-70.6042	-70.6042	-70.6042	-70.6042	-70.6042	-70.6042	-70.6042
1.32	-70.5969	-70.5969	-70.5969	-70.5969	-70.5969	-70.5969	-70.5969
1.33	-70.5896	-70.5896	-70.5896	-70.5896	-70.5896	-70.5896	-70.5896
1.34	-70.5822	-70.5822	-70.5822	-70.5822	-70.5822	-70.5822	-70.5822
1.35	-70.5748	-70.5748	-70.5748	-70.5748	-70.5748	-70.5748	-70.5748
1.36	-70.5674	-70.5674	-70.5674	-70.5674	-70.5674	-70.5674	-70.5674
1.37	-70.56	-70.56	-70.56	-70.56	-70.56	-70.56	-70.56
1.38	-70.5525	-70.5525	-70.5525	-70.5525	-70.5525	-70.5525	-70.5525
1.39	-70.545	-70.545	-70.545	-70.545	-70.545	-70.545	-70.545
1.4	-70.5375	-70.5375	-70.5375	-70.5375	-70.5375	-70.5375	-70.5375
1.41	-70.5299	-70.5299	-70.5299	-70.5299	-70.5299	-70.5299	-70.5299
1.42	-70.5223	-70.5223	-70.5223	-70.5223	-70.5223	-70.5223	-70.5223
1.43	-70.5147	-70.5147	-70.5147	-70.5147	-70.5147	-70.5147	-70.5147
1.44	-70.5071	-70.5071	-70.5071	-70.5071	-70.5071	-70.5071	-70.5071
1.45	-70.4994	-70.4994	-70.4994	-70.4994	-70.4994	-70.4994	-70.4994
1.46	-70.4917	-70.4917	-70.4917	-70.4917	-70.4917	-70.4917	-70.4917
1.47	-70.484	-70.484	-70.484	-70.484	-70.484	-70.484	-70.484
1.48	-70.4762	-70.4762	-70.4762	-70.4762	-70.4762	-70.4762	-70.4762
1.49	-70.4684	-70.4684	-70.4684	-70.4684	-70.4684	-70.4684	-70.4684
1.5	-70.4606	-70.4606	-70.4606	-70.4606	-70.4606	-70.4606	-70.4606
1.51	-70.4528	-70.4528	-70.4528	-70.4528	-70.4528	-70.4528	-70.4528
1.52	-70.4449	-70.4449	-70.4449	-70.4449	-70.4449	-70.4449	-70.4449
1.53	-70.437	-70.437	-70.437	-70.437	-70.437	-70.437	-70.437
1.54	-70.4291	-70.4291	-70.4291	-70.4291	-70.4291	-70.4291	-70.4291
1.55	-70.4211	-70.4211	-70.4211	-70.4211	-70.4211	-70.4211	-70.4211
1.56	-70.4131	-70.4131	-70.4131	-70.4131	-70.4131	-70.4131	-70.4131
1.57	-70.4051	-70.4051	-70.4051	-70.4051	-70.4051	-70.4051	-70.4051
1.58	-70.3971	-70.3971	-70.3971	-70.3971	-70.3971	-70.3971	-70.3971
1.59	-70.389	-70.389	-70.389	-70.389	-70.389	-70.389	-70.389
1.6	-70.3809	-70.3809	-70.3809	-70.3809	-70.3809	-70.3809	-70.3809
1.61	-70.3727	-70.3727	-70.3727	-70.3727	-70.3727	-70.3727	-70.3727
1.62	-70.3646	-70.3646	-70.3646	-70.3646	-70.3646	-70.3646	-70.3646
1.63	-70.3564	-70.3564	-70.3564	-70.3564	-70.3564	-70.3564	-70.3564
1.64	-70.3481	-70.3481	-70.3481	-70.3481	-70.3481	-70.3481	-70.3481
1.65	-70.3399	-70.3399	-70.3399	-70.3399	-70.3399	-70.3399	-70.3399
1.66	-70.3316	-70.3316	-70.3316	-70.3316	-70.3316	-70.3316	-70.3316
1.67	-70.3233	-70.3233	-70.3233	-70.3233	-70.3233	-70.3233	-70.3233
1.68	-70.3149	-70.3149	-70.3149	-70.3149	-70.3149	-70.3149	-70.3149
1.69	-70.3066	-70.3066	-70.3066	-70.3066	-70.3066	-70.3066	-70.3066
1.7	-70.2981	-70.2981	-70.2981	-70.2981	-70.2981	-70.2981	-70.2981
1.71	-70.2897	-70.2897	-70.2897	-70.2897	-70.2897	-70.2897	-70.2897
1.72	-70.2812	-70.2812	-70.2812	-70.2812	-70.2812	-70.2812	-70.2812
1.73	-70.2728	-70.2728	-70.2728	-70.2728	-70.2728	-70.2728	-70.2728
1.74	-70.2642	-70.2642	-70.2642	-70.2642	-70.2642	-70.2642	-70.2642
1.75	-70.2557	-70.2557	-70.2557	-70.2557	-70.2557	-70.2557	-70.2557
1.76	-70.2471	-70.2471	-70.2471	-70.2471	-70.2471	-70.2471	-70.2471
1.77	-70.2385	-70.2385	-70.2385	-70.2385	-70.2385	-70.2385	-70.2385
1.78	-70.2298	-70.2298	-70.2298	-70.2298	-70.2298	-70.2298	-70.2298
1.79	-70.2211	-70.2211	-70.2211	-70.2211	-70.2211	-70.2211	-70.2211
1.8	-70.2124	-70.2124	-70.2124	-70.2124	-70.2124	-70.2124	-70.2124
1.81	-70.2037	-70.2037	-70.2037	-70.2037	-70.2037	-70.2037	-70.2037
1.82	-70.1949	-70.1949	-70.1949	-70.1949	-70.1949	-70.1949	-70.1949
1.83	-70.1861	-70.1861	-70.1861	-70.1861	-70.1861	-70.1861	-70.1861
1.84	-70.1773	-70.1773	-70.1773	-70.1773	-70.1773	-70.1773	-70.1773
1.85	-70.1684	-70.1684	-70.1684	-70.1684	-70.1684	-70.1684	-70.1684
1.86	-70.1595	-70.1595	-70.1595	-70.1595	-70.1595	-70.1595	-70.1595
1.87	-70.1506	-70.1506	-70.1506	-70.1506	-70.1506	-70.1506	-70.1506
1.88	-70.1417	-70.1417	-70.1417	-70.1417	-70.1417	-70.1417	-70.1417
1.89	-70.1327	-70.1327	-70.1327	-70.1327	-70.1327	-70.1327	-70.1327
1.9	-70.1237	-70.1237	-70.1237	-70.1237	-70.1237	-70.1237	-70.1237
1.91	-70.1146	-70.1146	-70.1146	-70.1146	-70.1146	-70.1146	-70.1146
1.92	-70.1056	-70.1056	-70.1056	-70.1056	-70.1056	-70.1056	-70.1056
1.93	-70.0964	-70.0964	-70.0964	-70.0964	-70.0964	-70.0964	-70.0964
1.94	-70.0873	-70.0873	-70.0873	-70.0873	-70.0873	-70.0873	-70.0873
1.95	-70.0781	-70.0781	-70.0781	-70.0781	-70.0781	-70.0781	-70.0781
1.96	-70.0689	-70.0689	-70.0689	-70.0689	-70.0689	-70.0689	-70.0689
1.97	-70.0597	-70.0597	-70.0597	-70.0597	-70.0597	-70.0597	-70.0597
1.98	-70.0504	-70.0504	-70.0504	-70.0504	-70.0504	-70.0504	-70.0504
1.99	-70.0412	-70.0412	-70.0412	-70.0412	-70.0412	-70.0412	-70.0412
2	-70.0318	-70.0318	-70.0318	-70.0318	-70.0318	-70.0318	-70.0318
2.01	-70.0225	-70.0225	-70.0225	-70.0225	-70.0225	-70.0225	-70.0225
2.02	-70.0131	-70.0131	-70.0131	-70.0131	-70.0131	-70.0131	-70.0131
2.03	-70.0037	-70.0037	-70.0037	-70.0037	-70.0037	-70.0037	-70.0037
2.04	-69.9942	-69.9942	-69.9942	-69.9942	-69.9942	-69.9942	-69.9942
2.05	-69.9847	-69.9847	-69.9847	-69.9847	-69.9847	-69.9847	-69.9847
2.06	-69.9752	-69.9752	-69.9752	-69.9752	-69.9752	-69.9752	-69.9752
2.07	-69.9657	-69.9657	-69.9657	-69.9657	-69.9657	-69.9657	-69.9657
2.08	-69.9561	-69.9561	-69.9561	-69.9561	-69.9561	-69.9561	-69.9561
2.09	-69.9465	-69.9465	-69.9465	-69.9465	-69.9465	-69.9465	-69.9465
2.1	-69.9369	-69.9369	-69.9369	-69.9369	-69.9369	-69.9369	-69.9369
2.11	-69.9272	-69.9272	-69.9272	-69.9272	-69.9272	-69.9272	-69.9272
2.12	-69.9175	-69.9175	-69.9175	-69.9175	-69.9175	-69.9175	-69.9175
2.13	-69.9078	-69.9078	-69.9078	-69.9078	-69.9078	-69.9078	-69.9078
2.14	-69.898	-69.898	-69.898	-69.898	-69.898	-69.898	-69.898
2.15	-69.8882	-69.8882	-69.8882	-69.8882	-69.8882	-69.8882	-69.8882
2.16	-69.8784	-69.8784	-69.8784	-69.8784	-69.8784	-69.8784	-69.8784
2.17	-69.8685	-69.8685	-69.8685	-69.8685	-69.8685	-69.8685	-69.8685
2.18	-69.8587	-69.8587	-69.8587	-69.8587	-69.8587	-69.8587	-69.8587
2.19	-69.8487	-69.8487	-69.8487	-69.8487	-69.8487	-69.8487	-69.8487
2.2	-69.8388	-69.8388	-69.8388	-69.8388	-69.8388	-69.8388	-69.8388
2.21	-69.8288	-69.8288	-69.8288	-69.8288	-69.8288	-69.8288	-69.8288
2.22	-69.8188	-69.8188	-69.8188	-69.8188	-69.8188	-69.8188	-69.8188
2.23	-69.8087	-69.8087	-69.8087	-69.8087	-69.8087	-69.8087	-69.8087
2.24	-69.7987	-69.7987	-69.7987	-69.7987	-69.7987	-69.7987	-69.7987
2.25	-69.7885	-69.7885	-69.7885	-69.7885	-69.7885	-69.7885	-69.7885
2.26	-69.7784	-69.7784	-69.7784	-69.7784	-69.7784	-69.7784	-69.7784
2.27	-69.7682	-69.7682	-69.7682	-69.7682	-69.7682	-69.7682	-69.7682
2.28	-69.758	-69.758	-69.758	-69.758	-69.758	-69.758	-69.758
2.29	-69.7478	-69.7478	-69.7478	-69.7478	-69.7478	-69.7478	-69.7478
2.3	-69.7375	-69.7375	-69.7375	-69.7375	-69.7375	-69.7375	-69.7375
2.31	-69.7272	-69.7272	-69.7272	-69.7272	-69.7272	-69.7272	-69.7272
2.32	-69.7169	-69.7169	-69.7169	-69.7169	-69.7169	-69.7169	-69.7169
2.33	-69.7065	-69.7065	-69.7065	-69.7065	-69.7065	-69.7065	-69.7065
2.34	-69.6961	-69.6961	-69.6961	-69.6961	-69.6961	-69.6961	-69.6961
2.35	-69.6857	-69.6857	-69.6857	-69.6857	-69.6857	-69.6857	-69.6857
2.36	-69.6752	-69.6752	-69.6752	-69.6752	-69.6752	-69.6752	-69.6752
2.37	-69.6647	-69.6647	-69.6647	-69.6647	-69.6647	-69.6647	-69.6647
2.38	-69.6542	-69.6542	-69.6542	-69.6542	-69.6542	-69.6542	-69.6542
2.39	-69.6436	-69.6436	-69.6436	-69.6436	-69.6436	-69.6436	-69.6436
2.4	-69.6331	-69.6331	-69.6331	-69.6331	-69.6331	-69.6331	-69.6331
2.41	-69.6224	-69.6224	-69.6224	-69.6224	-69.6224	-69.6224	-69.6224
2.42	-69.6118	-69.6118	-69.6118	-69.6118	-69.6118	-69.6118	-69.6118
2.43	-69.6011	-69.6011	-69.6011	-69.6011	-69.6011	-69.6011	-69.6011
2.44	-69.5904	-69.5904	-69.5904	-69.5904	-69.5904	-69.5904	-69.5904
2.45	-69.5796	-69.5796	-69.5796	-69.5796	-69.5796	-69.5796	-69.5796
2.46	-69.5688	-69.5688	-69.5688	-69.5688	-69.5688	-69.5688	-69.5688
2.47	-69.558	-69.558	-69.558	-69.558	-69.558	-69.558	-69.558
2.48	-69.5472	-69.5472	-69.5472	-69.5472	-69.5472	-69.5472	-69.5472
2.49	-69.5363	-69.5363	-69.5363	-69.5363	-69.5363	-69.5363	-69.5363
2.5	-69.5254	-69.5254	-69.5254	-69.5254	-69.5254	-69.5254	-69.5254
2.51	-69.5144	-69.5144	-69.5144	-69.5144	-69.5144	-69.5144	-69.5144
2.52	-69.5035	-69.5035	-69.5035	-69.5035	-69.5035	-69.5035	-69.5035
2.53	-69.4925	-69.4925	-69.4925	-69.4925	-69.4925	-69.4925	-69.4925
2.54	-69.4814	-69.4814	-69.4814	-69.4814	-69.4814	-69.4814	-69.4814
2.55	-69.4704	-69.4704	-69.4704	-69.4704	-69.4704	-69.4704	-69.4704
2.56	-69.4592	-69.4592	-69.4592	-69.4592	-69.4592	-69.4592	-69.4592
2.57	-69.4481	-69.4481	-69.4481	-69.4481	-69.4481	-69.4481	-69.4481
2.58	-69.4369	-69.4369	-69.4369	-69.4369	-69.4369	-69.4369	-69.4369
2.59	-69.4257	-69.4257	-69.4257	-69.4257	-69.4257	-69.4257	-69.4257
2.6	-69.4145	-69.4145	-69.4145	-69.4145	-69.4145	-69.4145	-69.4145
2.61	-69.4032	-69.4032	-69.4032	-69.4032	-69.4032	-69.4032	-69.4032
2.62	-69.3919	-69.3919	-69.3919	-69.3919	-69.3919	-69.3919	-69.3919
2.63	-69.3806	-69.3806	-69.3806	-69.3806	-69.3806	-69.3806	-69.3806
2.64	-69.3693	-69.3693	-69.3693	-69.3693	-69.3693	-69.3693	-69.3693
2.65	-69.3579	-69.3579	-69.3579	-69.3579	-69.3579	-69.3579	-69.3579
2.66	-69.3464	-69.3464	-69.3464	-69.3464	-69.3464	-69.3464	-69.3464
2.67	-69.335	-69.335	-69.335	-69.335	-69.335	-69.335	-69.335
2.68	-69.3235	-69.3235	-69.3235	-69.3235	-69.3235	-69.3235	-69.3235
2.69	-69.312	-69.312	-69.312	-69.312	-69.312	-69.312	-69.312
2.7	-69.3004	-69.3004	-69.3004	-69.3004	-69.3004	-69.3004	-69.3004
2.71	-69.2888	-69.2888	-69.2888	-69.2888	-69.2888	-69.2888	-69.2888
2.72	-69.2772	-69.2772	-69.2772	-69.2772	-69.2772	-69.2772	-69.2772
2.73	-69.2655	-69.2655	-69.2655	-69.2655	-69.2655	-69.2655	-69.2655
2.74	-69.2539	-69.2539	-69.2539	-69.2539	-69.2539	-69.2539	-69.2539
2.75	-69.2421	-69.2421	-69.2421	-69.2421	-69.2421	-69.2421	-69.2421
2.76	-69.2304	-69.2304	-69.2304	-69.2304	-69.2304	-69.2304	-69.2304
2.77	-69.2186	-69.2186	-69.2186	-69.2186	-69.2186	-69.2186	-69.2186
2.78	-69.2068	-69.2068	-69.2068	-69.2068	-69.2068	-69.2068	-69.2068
2.79	-69.1949	-69.1949	-69.1949	-69.1949	-69.1949	-69.1949	-69.1949
2.8	-69.1831	-69.1831	-69.1831	-69.1831	-69.1831	-69.1831	-69.1831
2.81	-69.1712	-69.1712	-69.1712	-69.1712	-69.1712	-69.1712	-69.1712
2.82	-69.1592	-69.1592	-69.1592	-69.1592	-69.1592	-69.1592	-69.1592
2.83	-69.1472	-69.1472	-69.1472	-69.1472	-69.1472	-69.1472	-69.1472
2.84	-69.1352	-69.1352	-69.1352	-69.1352	-69.1352	-69.1352	-69.1352
2.85	-69.1232	-69.1232	-69.1232	-69.1232	-69.1232	-69.1232	-69.1232
2.86	-69.1111	-69.1111	-69.1111	-69.1111	-69.1111	-69.1111	-69.1111
2.87	-69.099	-69.099	-69.099	-69.099	-69.099	-69.099	-69.099
2.88	-69.0869	-69.0869	-69.0869	-69.0869	-69.0869	-69.0869	-69.0869
2.89	-69.0747	-69.0747	-69.0747	-69.0747	-69.0747	-69.0747	-69.0747
2.9	-69.0625	-69.0625	-69.0625	-69.0625	-69.0625	-69.0625	-69.0625
2.91	-69.0503	-69.0503	-69.0503	-69.0503	-69.0503	-69.0503	-69.0503
2.92	-69.038	-69.038	-69.038	-69.038	-69.038	-69.038	-69.038
2.93	-69.0257	-69.0257	-69.0257	-69.0257	-69.0257	-69.0257	-69.0257
2.94	-69.0134	-69.0134	-69.0134	-69.0134	-69.0134	-69.0134	-69.0134
2.95	-69.0011	-69.0011	-69.0011	-69.0011	-69.0011	-69.0011	-69.0011
2.96	-68.9887	-68.9887	-68.9887	-68.9887	-68.9887	-68.9887	-68.9887
2.97	-68.9762	-68.9762	-68.9762	-68.9762	-68.9762	-68.9762	-68.9762
2.98	-68.9638	-68.9638	-68.9638	-68.9638	-68.9638	-68.9638	-68.9638
2.99	-68.9513	-68.9513	-68.9513	-68.9513	-68.9513	-68.9513	-68.9513
3	-68.9388	-68.9388	-68.9388	-68.9388	-68.9388	-68.9388	-68.9388
3.01	-68.9262	-68.9262	-68.9262	-68.9262	-68.9262	-68.9262	-68.9262
3.02	-68.9137	-68.9137	-68.9137	-68.9137	-68.9137	-68.9137	-68.9137
3.03	-68.901	-68.901	-68.901	-68.901	-68.901	-68.901	-68.901
3.04	-68.8884	-68.8884	-68.8884	-68.8884	-68.8884	-68.8884	-68.8884
3.05	-68.8757	-68.8757	-68.8757	-68.8757	-68.8757	-68.8757	-68.8757
3.06	-68.863	-68.863	-68.863	-68.863	-68.863	-68.863	-68.863
3.07	-68.8503	-68.8503	-68.8503	-68.8503	-68.8503	-68.8503	-68.8503
3.08	-68.8375	-68.8375	-68.8375	-68.8375	-68.8375	-68.8375	-68.8375
